p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.99405251702945e-34,0.503949258650642,0.668,0.141,6.70052026209841e-30,1,CG17108
5.54418996100179e-34,0.522795470186615,0.412,0.032,7.4386396706761e-30,1,CG14661
5.98436897551974e-34,0.399388402280034,0.332,0.005,8.02922785445483e-30,1,pot
6.23082264880526e-34,1.09984993329433,0.783,0.234,8.35989474790202e-30,1,lncRNA:CR43836
9.9978313881072e-34,0.73144022672481,0.881,0.273,1.34140903734234e-29,1,puc
1.04415674973401e-33,0.3244894074657,0.368,0.017,1.40094511111813e-29,1,bbg
1.06539450672378e-33,0.368037101239769,0.614,0.109,1.42943980967129e-29,1,mbf1
1.06688395312723e-33,0.284326018162479,0.469,0.054,1.43143819991081e-29,1,CG12945
1.15453137381293e-33,0.296869712599701,0.375,0.019,1.54903474424481e-29,1,CG12992
1.16080196081305e-33,0.27361565692071,0.39,0.024,1.55744799082286e-29,1,CG8086
1.84340863607894e-33,0.451462497161563,0.336,0.007,2.47330136702711e-29,1,Ugt49C1
1.93499232919955e-33,0.282550475981088,0.628,0.117,2.59617920808704e-29,1,CG17508
2.43544887040285e-33,0.378467893144883,0.31,0,3.26764174941951e-29,1,geko
2.76184773599935e-33,0.964813786360592,0.942,0.47,3.70557110739033e-29,1,mgl
2.95504021287957e-33,0.64372665905508,0.325,0.005,3.96477745362053e-29,1,CG42390
3.11011272789749e-33,0.399385007194736,0.365,0.017,4.17283824702006e-29,1,Eglp4
3.29266417754799e-33,0.33266353123494,0.386,0.024,4.41776752701614e-29,1,Cyp4p1
3.56990465995091e-33,0.305624085772352,0.751,0.18,4.78974108225614e-29,1,Mur2B
4.08952139620991e-33,0.516830768506836,0.614,0.119,5.48691085729484e-29,1,Nplp3
4.13848653817366e-33,0.603671999362651,0.39,0.027,5.5526073882676e-29,1,ImpL2
5.95158422599239e-33,0.286002979873431,0.383,0.024,7.98524055601399e-29,1,CG32638
6.96985998584256e-33,0.392358304527814,0.646,0.131,9.35146114300496e-29,1,DnaJ-1
7.11122320286465e-33,0.329373012617153,0.783,0.187,9.5411281712835e-29,1,Met
7.49156107393873e-33,0.272256739464108,0.361,0.017,1.00514274929036e-28,1,CG10550
8.00477725104529e-33,0.386656046337907,0.722,0.173,1.07400096377275e-28,1,vvl
8.57370391612057e-33,0.463329682031706,0.534,0.083,1.1503338544259e-28,1,CG12290
1.12977064185871e-32,0.42365186073851,0.458,0.054,1.51581327018184e-28,1,CG6870
1.14645512465679e-32,0.313250629396676,0.643,0.127,1.53819884075202e-28,1,Sar1
1.18688322929411e-32,0.328283014023484,0.657,0.134,1.59244122874391e-28,1,Pax
1.37443649016653e-32,0.370910955044843,0.542,0.088,1.84408143885644e-28,1,Cpr72Ec
1.6445593432283e-32,0.332777593683702,0.303,0,2.20650527080941e-28,1,CG5381
1.69316485403302e-32,0.747254752481612,0.769,0.221,2.2717192846561e-28,1,CG3961
1.91786649875312e-32,0.271449283173284,0.617,0.117,2.57320148137706e-28,1,Acf
1.95230915419405e-32,0.259338595978764,0.379,0.024,2.61941319218216e-28,1,GstE3
1.95246866681892e-32,0.34074712058135,0.31,0.002,2.61962721027094e-28,1,lncRNA:CR44111
1.97692870953001e-32,0.49589119562701,0.751,0.182,2.65244524957641e-28,1,kay
2.15141749699586e-32,0.321040567786232,0.31,0.002,2.88655685571935e-28,1,Cyp6v1
2.18647926316162e-32,0.28680583298665,0.31,0.002,2.93359922738394e-28,1,CG3902
2.19965438282145e-32,0.553575146114341,0.56,0.097,2.95127628543155e-28,1,Scp2
2.26247928681137e-32,0.320936559691122,0.567,0.097,3.03556845911482e-28,1,Pu
2.28372684753096e-32,0.279856792141344,0.426,0.041,3.06407631133229e-28,1,Rbm13
2.71352412325727e-32,0.279213033048394,0.318,0.005,3.64073531617428e-28,1,modSP
3.70094792682716e-32,0.466103021679622,0.773,0.197,4.965561833424e-28,1,RhoGEF2
4.44353687701756e-32,0.267823120752947,0.354,0.017,5.96189342789446e-28,1,CG17111
4.99010165452307e-32,0.396552242516735,0.671,0.146,6.6952193898736e-28,1,Kank
5.15230088893254e-32,0.278720450058774,0.347,0.015,6.91284210268078e-28,1,glob1
5.69988456004779e-32,0.312784312607727,0.307,0.002,7.64753511421611e-28,1,Ccdc85
6.29345659016062e-32,0.262846762608248,0.7,0.153,8.4439307070185e-28,1,chb
6.41684933258438e-32,0.325362110472318,0.675,0.144,8.60948674952846e-28,1,CG7766
6.60267214368312e-32,0.619128132987254,0.426,0.044,8.85880521517965e-28,1,wtrw
9.23322324220836e-32,0.298634491239159,0.336,0.012,1.2388215624071e-27,1,prom
9.58583056950502e-32,0.263770710908741,0.697,0.156,1.28613088751049e-27,1,sdk
9.73724315482284e-32,0.258707124429643,0.329,0.01,1.30644591408258e-27,1,CG18622
9.88379466179871e-32,0.280329301864483,0.466,0.058,1.32610872977353e-27,1,CG8475
1.0311161755031e-31,0.318722345724987,0.35,0.017,1.38344857267251e-27,1,out
1.04259053565656e-31,0.325078041131,0.379,0.027,1.39884372169041e-27,1,CG13377
1.17107210351614e-31,0.780672836561925,0.964,0.501,1.57122744128761e-27,1,CG17839
